hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
Cirrus,GNU 6.3,16,COPYIN 1,4.5083,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 6.3,2,PRIVATE 1,1.0273,Array
Cirrus,GNU 6.3,2,FIRSTPRIVATE 1,1.0363,Array
Cirrus,GNU 6.3,2,COPYPRIVATE 1,2.0588,Array
Cirrus,GNU 6.3,2,COPYIN 1,1.4258,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 6.3,32,PRIVATE 1,5.5728,Array
Cirrus,GNU 6.3,32,FIRSTPRIVATE 1,5.5526,Array
Cirrus,GNU 6.3,32,COPYPRIVATE 1,9.5356,Array
Cirrus,GNU 6.3,32,COPYIN 1,7.236,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 6.3,4,PRIVATE 1,1.3143,Array
Cirrus,GNU 6.3,4,FIRSTPRIVATE 1,1.3298,Array
Cirrus,GNU 6.3,4,COPYPRIVATE 1,2.7978,Array
Cirrus,GNU 6.3,4,COPYIN 1,1.9252,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 6.3,8,PRIVATE 1,1.9662,Array
Cirrus,GNU 6.3,8,FIRSTPRIVATE 1,1.9521,Array
Cirrus,GNU 6.3,8,COPYPRIVATE 1,3.9746,Array
Cirrus,GNU 6.3,8,COPYIN 1,2.6657,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 8.2,1,PRIVATE 1,0.423,Array
Cirrus,GNU 8.2,1,FIRSTPRIVATE 1,0.4233,Array
Cirrus,GNU 8.2,1,COPYPRIVATE 1,1.1188,Array
Cirrus,GNU 8.2,1,COPYIN 1,0.7466,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 8.2,16,PRIVATE 1,3.2483,Array
Cirrus,GNU 8.2,16,FIRSTPRIVATE 1,3.2431,Array
Cirrus,GNU 8.2,16,COPYPRIVATE 1,6.5286,Array
Cirrus,GNU 8.2,16,COPYIN 1,4.46,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 8.2,2,PRIVATE 1,1.0271,Array
Cirrus,GNU 8.2,2,FIRSTPRIVATE 1,1.0261,Array
Cirrus,GNU 8.2,2,COPYPRIVATE 1,2.1721,Array
Cirrus,GNU 8.2,2,COPYIN 1,1.6044,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 8.2,32,PRIVATE 1,5.4967,Array
Cirrus,GNU 8.2,32,FIRSTPRIVATE 1,5.4948,Array
Cirrus,GNU 8.2,32,COPYPRIVATE 1,9.6599,Array
Cirrus,GNU 8.2,32,COPYIN 1,7.1205,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 8.2,4,PRIVATE 1,1.2714,Array
Cirrus,GNU 8.2,4,FIRSTPRIVATE 1,1.2669,Array
Cirrus,GNU 8.2,4,COPYPRIVATE 1,2.7865,Array
Cirrus,GNU 8.2,4,COPYIN 1,2.5215,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,GNU 8.2,8,PRIVATE 1,1.9956,Array
Cirrus,GNU 8.2,8,FIRSTPRIVATE 1,1.9751,Array
Cirrus,GNU 8.2,8,COPYPRIVATE 1,3.9579,Array
Cirrus,GNU 8.2,8,COPYIN 1,2.7142,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 18.0,1,PRIVATE 1,0.1601,Array
Cirrus,Intel 18.0,1,FIRSTPRIVATE 1,0.1644,Array
Cirrus,Intel 18.0,1,COPYPRIVATE 1,0.2151,Array
Cirrus,Intel 18.0,1,COPYIN 1,0.1791,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 18.0,16,PRIVATE 1,1.3129,Array
Cirrus,Intel 18.0,16,FIRSTPRIVATE 1,1.2896,Array
Cirrus,Intel 18.0,16,COPYPRIVATE 1,3.4637,Array
Cirrus,Intel 18.0,16,COPYIN 1,2.4149,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 18.0,2,PRIVATE 1,0.551,Array
Cirrus,Intel 18.0,2,FIRSTPRIVATE 1,0.5723,Array
Cirrus,Intel 18.0,2,COPYPRIVATE 1,1.0694,Array
Cirrus,Intel 18.0,2,COPYIN 1,0.8483,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 18.0,32,PRIVATE 1,5.6586,Array
Cirrus,Intel 18.0,32,FIRSTPRIVATE 1,2.863,Array
Cirrus,Intel 18.0,32,COPYPRIVATE 1,5.4403,Array
Cirrus,Intel 18.0,32,COPYIN 1,3.6626,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 18.0,4,PRIVATE 1,0.7254,Array
Cirrus,Intel 18.0,4,FIRSTPRIVATE 1,0.732,Array
Cirrus,Intel 18.0,4,COPYPRIVATE 1,1.6161,Array
Cirrus,Intel 18.0,4,COPYIN 1,1.1148,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 18.0,8,PRIVATE 1,1.0626,Array
Cirrus,Intel 18.0,8,FIRSTPRIVATE 1,1.0566,Array
Cirrus,Intel 18.0,8,COPYPRIVATE 1,2.5252,Array
Cirrus,Intel 18.0,8,COPYIN 1,1.9308,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 19.0,1,PRIVATE 1,0.1531,Array
Cirrus,Intel 19.0,1,FIRSTPRIVATE 1,0.1574,Array
Cirrus,Intel 19.0,1,COPYPRIVATE 1,0.2027,Array
