hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
Cirrus,GNU 8.2,2,MASTER TASK BUSY SLAVES,0.105,Task
Cirrus,GNU 8.2,2,CONDITIONAL TASK,0.0158,Task
Cirrus,GNU 8.2,2,TASK WAIT,1.795,Task
Cirrus,GNU 8.2,2,TASK BARRIER,2.575,Task
Cirrus,GNU 8.2,2,NESTED TASK,0.0763,Task
Cirrus,GNU 8.2,2,NESTED MASTER TASK,1.3977,Task
Cirrus,GNU 8.2,2,BRANCH TASK TREE,0.4492,Task
Cirrus,GNU 8.2,2,LEAF TASK TREE,0.229,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,GNU 8.2,32,PARALLEL TASK,79.8625,Task
Cirrus,GNU 8.2,32,MASTER TASK,289.7091,Task
Cirrus,GNU 8.2,32,MASTER TASK BUSY SLAVES,7.6267,Task
Cirrus,GNU 8.2,32,CONDITIONAL TASK,0.0789,Task
Cirrus,GNU 8.2,32,TASK WAIT,116.8927,Task
Cirrus,GNU 8.2,32,TASK BARRIER,171.157,Task
Cirrus,GNU 8.2,32,NESTED TASK,65.9306,Task
Cirrus,GNU 8.2,32,NESTED MASTER TASK,121.3591,Task
Cirrus,GNU 8.2,32,BRANCH TASK TREE,67.7462,Task
Cirrus,GNU 8.2,32,LEAF TASK TREE,65.1886,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,GNU 8.2,4,PARALLEL TASK,0.0278,Task
Cirrus,GNU 8.2,4,MASTER TASK,5.0285,Task
Cirrus,GNU 8.2,4,MASTER TASK BUSY SLAVES,0.484,Task
Cirrus,GNU 8.2,4,CONDITIONAL TASK,0.0158,Task
Cirrus,GNU 8.2,4,TASK WAIT,5.5331,Task
Cirrus,GNU 8.2,4,TASK BARRIER,8.539,Task
Cirrus,GNU 8.2,4,NESTED TASK,5.6153,Task
Cirrus,GNU 8.2,4,NESTED MASTER TASK,6.3818,Task
Cirrus,GNU 8.2,4,BRANCH TASK TREE,3.0425,Task
Cirrus,GNU 8.2,4,LEAF TASK TREE,2.7862,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,GNU 8.2,8,PARALLEL TASK,0.1393,Task
Cirrus,GNU 8.2,8,MASTER TASK,17.865,Task
Cirrus,GNU 8.2,8,MASTER TASK BUSY SLAVES,1.7873,Task
Cirrus,GNU 8.2,8,CONDITIONAL TASK,0.0158,Task
Cirrus,GNU 8.2,8,TASK WAIT,13.6694,Task
Cirrus,GNU 8.2,8,TASK BARRIER,19.2893,Task
Cirrus,GNU 8.2,8,NESTED TASK,13.1432,Task
Cirrus,GNU 8.2,8,NESTED MASTER TASK,16.0151,Task
Cirrus,GNU 8.2,8,BRANCH TASK TREE,12.6351,Task
Cirrus,GNU 8.2,8,LEAF TASK TREE,11.4446,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 18.0,1,PARALLEL TASK,0.0637,Task
Cirrus,Intel 18.0,1,MASTER TASK,0.0643,Task
Cirrus,Intel 18.0,1,MASTER TASK BUSY SLAVES,0.0636,Task
Cirrus,Intel 18.0,1,CONDITIONAL TASK,0.0482,Task
Cirrus,Intel 18.0,1,TASK WAIT,0.0693,Task
Cirrus,Intel 18.0,1,TASK BARRIER,0.0746,Task
Cirrus,Intel 18.0,1,NESTED TASK,0.1535,Task
Cirrus,Intel 18.0,1,NESTED MASTER TASK,0.1377,Task
Cirrus,Intel 18.0,1,BRANCH TASK TREE,0.0774,Task
Cirrus,Intel 18.0,1,LEAF TASK TREE,0.0756,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 18.0,16,PARALLEL TASK,0.3148,Task
Cirrus,Intel 18.0,16,MASTER TASK,22.9032,Task
Cirrus,Intel 18.0,16,MASTER TASK BUSY SLAVES,0.7044,Task
Cirrus,Intel 18.0,16,CONDITIONAL TASK,0.0649,Task
Cirrus,Intel 18.0,16,TASK WAIT,0.2196,Task
Cirrus,Intel 18.0,16,TASK BARRIER,7.8025,Task
Cirrus,Intel 18.0,16,NESTED TASK,0.6195,Task
Cirrus,Intel 18.0,16,NESTED MASTER TASK,0.759,Task
Cirrus,Intel 18.0,16,BRANCH TASK TREE,0.6966,Task
Cirrus,Intel 18.0,16,LEAF TASK TREE,0.6565,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 18.0,2,PARALLEL TASK,0.0941,Task
Cirrus,Intel 18.0,2,MASTER TASK,0.3835,Task
Cirrus,Intel 18.0,2,MASTER TASK BUSY SLAVES,0.1074,Task
Cirrus,Intel 18.0,2,CONDITIONAL TASK,0.0667,Task
Cirrus,Intel 18.0,2,TASK WAIT,0.1701,Task
Cirrus,Intel 18.0,2,TASK BARRIER,2.3227,Task
Cirrus,Intel 18.0,2,NESTED TASK,0.2183,Task
Cirrus,Intel 18.0,2,NESTED MASTER TASK,0.6064,Task
Cirrus,Intel 18.0,2,BRANCH TASK TREE,0.6621,Task
Cirrus,Intel 18.0,2,LEAF TASK TREE,0.6651,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 18.0,32,PARALLEL TASK,0.2655,Task
Cirrus,Intel 18.0,32,MASTER TASK,47.877,Task
Cirrus,Intel 18.0,32,MASTER TASK BUSY SLAVES,0.9071,Task
Cirrus,Intel 18.0,32,CONDITIONAL TASK,0.154,Task
Cirrus,Intel 18.0,32,TASK WAIT,0.4251,Task
Cirrus,Intel 18.0,32,TASK BARRIER,15.0023,Task
Cirrus,Intel 18.0,32,NESTED TASK,0.9427,Task
Cirrus,Intel 18.0,32,NESTED MASTER TASK,0.9597,Task
Cirrus,Intel 18.0,32,BRANCH TASK TREE,0.8831,Task
Cirrus,Intel 18.0,32,LEAF TASK TREE,0.8606,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 18.0,4,PARALLEL TASK,0.0962,Task
Cirrus,Intel 18.0,4,MASTER TASK,2.3705,Task
Cirrus,Intel 18.0,4,MASTER TASK BUSY SLAVES,0.2695,Task
Cirrus,Intel 18.0,4,CONDITIONAL TASK,0.0701,Task
Cirrus,Intel 18.0,4,TASK WAIT,0.1867,Task
Cirrus,Intel 18.0,4,TASK BARRIER,3.1949,Task
Cirrus,Intel 18.0,4,NESTED TASK,0.2498,Task
Cirrus,Intel 18.0,4,NESTED MASTER TASK,0.8293,Task
Cirrus,Intel 18.0,4,BRANCH TASK TREE,0.6891,Task
Cirrus,Intel 18.0,4,LEAF TASK TREE,0.6726,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 18.0,8,PARALLEL TASK,0.1007,Task
Cirrus,Intel 18.0,8,MASTER TASK,7.7956,Task
Cirrus,Intel 18.0,8,MASTER TASK BUSY SLAVES,0.4441,Task
Cirrus,Intel 18.0,8,CONDITIONAL TASK,0.0737,Task
Cirrus,Intel 18.0,8,TASK WAIT,0.195,Task
Cirrus,Intel 18.0,8,TASK BARRIER,3.8819,Task
Cirrus,Intel 18.0,8,NESTED TASK,0.5734,Task
Cirrus,Intel 18.0,8,NESTED MASTER TASK,0.7728,Task
Cirrus,Intel 18.0,8,BRANCH TASK TREE,0.6649,Task
Cirrus,Intel 18.0,8,LEAF TASK TREE,0.6648,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 19.0,1,PARALLEL TASK,0.064,Task
Cirrus,Intel 19.0,1,MASTER TASK,0.064,Task
Cirrus,Intel 19.0,1,MASTER TASK BUSY SLAVES,0.0635,Task
Cirrus,Intel 19.0,1,CONDITIONAL TASK,0.0477,Task
Cirrus,Intel 19.0,1,TASK WAIT,0.0694,Task
Cirrus,Intel 19.0,1,TASK BARRIER,0.0761,Task
Cirrus,Intel 19.0,1,NESTED TASK,0.1541,Task
Cirrus,Intel 19.0,1,NESTED MASTER TASK,0.138,Task
Cirrus,Intel 19.0,1,BRANCH TASK TREE,0.0776,Task
Cirrus,Intel 19.0,1,LEAF TASK TREE,0.0767,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 19.0,16,PARALLEL TASK,0.2272,Task
Cirrus,Intel 19.0,16,MASTER TASK,22.9821,Task
Cirrus,Intel 19.0,16,MASTER TASK BUSY SLAVES,0.6923,Task
Cirrus,Intel 19.0,16,CONDITIONAL TASK,0.0623,Task
Cirrus,Intel 19.0,16,TASK WAIT,0.2043,Task
Cirrus,Intel 19.0,16,TASK BARRIER,7.2284,Task
Cirrus,Intel 19.0,16,NESTED TASK,0.7251,Task
Cirrus,Intel 19.0,16,NESTED MASTER TASK,0.758,Task
Cirrus,Intel 19.0,16,BRANCH TASK TREE,0.6678,Task
Cirrus,Intel 19.0,16,LEAF TASK TREE,0.6437,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 19.0,2,PARALLEL TASK,0.0934,Task
Cirrus,Intel 19.0,2,MASTER TASK,0.3907,Task
Cirrus,Intel 19.0,2,MASTER TASK BUSY SLAVES,0.1108,Task
Cirrus,Intel 19.0,2,CONDITIONAL TASK,0.065,Task
Cirrus,Intel 19.0,2,TASK WAIT,0.1713,Task
Cirrus,Intel 19.0,2,TASK BARRIER,2.2797,Task
Cirrus,Intel 19.0,2,NESTED TASK,0.211,Task
Cirrus,Intel 19.0,2,NESTED MASTER TASK,0.6176,Task
Cirrus,Intel 19.0,2,BRANCH TASK TREE,0.6715,Task
Cirrus,Intel 19.0,2,LEAF TASK TREE,0.653,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 19.0,32,PARALLEL TASK,0.2441,Task
Cirrus,Intel 19.0,32,MASTER TASK,47.4681,Task
Cirrus,Intel 19.0,32,MASTER TASK BUSY SLAVES,0.9268,Task
Cirrus,Intel 19.0,32,CONDITIONAL TASK,0.1611,Task
Cirrus,Intel 19.0,32,TASK WAIT,0.4367,Task
Cirrus,Intel 19.0,32,TASK BARRIER,15.9568,Task
Cirrus,Intel 19.0,32,NESTED TASK,0.9465,Task
Cirrus,Intel 19.0,32,NESTED MASTER TASK,1.023,Task
Cirrus,Intel 19.0,32,BRANCH TASK TREE,0.8805,Task
Cirrus,Intel 19.0,32,LEAF TASK TREE,0.8609,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 19.0,4,PARALLEL TASK,0.0963,Task
Cirrus,Intel 19.0,4,MASTER TASK,2.4294,Task
Cirrus,Intel 19.0,4,MASTER TASK BUSY SLAVES,0.2788,Task
Cirrus,Intel 19.0,4,CONDITIONAL TASK,0.0664,Task
Cirrus,Intel 19.0,4,TASK WAIT,0.1871,Task
Cirrus,Intel 19.0,4,TASK BARRIER,3.2424,Task
Cirrus,Intel 19.0,4,NESTED TASK,0.2515,Task
Cirrus,Intel 19.0,4,NESTED MASTER TASK,0.8187,Task
Cirrus,Intel 19.0,4,BRANCH TASK TREE,0.6854,Task
Cirrus,Intel 19.0,4,LEAF TASK TREE,0.6731,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Cirrus,Intel 19.0,8,PARALLEL TASK,0.098,Task
Cirrus,Intel 19.0,8,MASTER TASK,7.8316,Task
Cirrus,Intel 19.0,8,MASTER TASK BUSY SLAVES,0.4453,Task
Cirrus,Intel 19.0,8,CONDITIONAL TASK,0.0662,Task
Cirrus,Intel 19.0,8,TASK WAIT,0.1921,Task
Cirrus,Intel 19.0,8,TASK BARRIER,4.2557,Task
Cirrus,Intel 19.0,8,NESTED TASK,0.5454,Task
Cirrus,Intel 19.0,8,NESTED MASTER TASK,0.7762,Task
Cirrus,Intel 19.0,8,BRANCH TASK TREE,0.711,Task
Cirrus,Intel 19.0,8,LEAF TASK TREE,0.6987,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Fulhame,ARM 20.0,1,PARALLEL TASK,0.1709,Task
Fulhame,ARM 20.0,1,MASTER TASK,0.1766,Task
Fulhame,ARM 20.0,1,MASTER TASK BUSY SLAVES,0.1804,Task
Fulhame,ARM 20.0,1,CONDITIONAL TASK,0.1465,Task
Fulhame,ARM 20.0,1,TASK WAIT,0.1761,Task
Fulhame,ARM 20.0,1,TASK BARRIER,0.1808,Task
Fulhame,ARM 20.0,1,NESTED TASK,0.4449,Task
Fulhame,ARM 20.0,1,NESTED MASTER TASK,0.3077,Task
Fulhame,ARM 20.0,1,BRANCH TASK TREE,0.1893,Task
Fulhame,ARM 20.0,1,LEAF TASK TREE,0.1539,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Fulhame,ARM 20.0,16,PARALLEL TASK,1.9536,Task
Fulhame,ARM 20.0,16,MASTER TASK,58.8823,Task
Fulhame,ARM 20.0,16,MASTER TASK BUSY SLAVES,2.7241,Task
Fulhame,ARM 20.0,16,CONDITIONAL TASK,0.1874,Task
Fulhame,ARM 20.0,16,TASK WAIT,0.6525,Task
Fulhame,ARM 20.0,16,TASK BARRIER,8.0792,Task
Fulhame,ARM 20.0,16,NESTED TASK,3.1923,Task
Fulhame,ARM 20.0,16,NESTED MASTER TASK,1.779,Task
Fulhame,ARM 20.0,16,BRANCH TASK TREE,1.7278,Task
Fulhame,ARM 20.0,16,LEAF TASK TREE,1.7208,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Fulhame,ARM 20.0,2,PARALLEL TASK,0.3129,Task
Fulhame,ARM 20.0,2,MASTER TASK,0.746,Task
Fulhame,ARM 20.0,2,MASTER TASK BUSY SLAVES,0.3077,Task
Fulhame,ARM 20.0,2,CONDITIONAL TASK,0.1832,Task
Fulhame,ARM 20.0,2,TASK WAIT,0.3855,Task
Fulhame,ARM 20.0,2,TASK BARRIER,3.7206,Task
Fulhame,ARM 20.0,2,NESTED TASK,1.3668,Task
Fulhame,ARM 20.0,2,NESTED MASTER TASK,1.2243,Task
Fulhame,ARM 20.0,2,BRANCH TASK TREE,1.3034,Task
Fulhame,ARM 20.0,2,LEAF TASK TREE,1.2588,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Fulhame,ARM 20.0,32,PARALLEL TASK,20.5044,Task
Fulhame,ARM 20.0,32,MASTER TASK,636.9848,Task
Fulhame,ARM 20.0,32,MASTER TASK BUSY SLAVES,8.1393,Task
Fulhame,ARM 20.0,32,CONDITIONAL TASK,0.3556,Task
Fulhame,ARM 20.0,32,TASK WAIT,1.9545,Task
Fulhame,ARM 20.0,32,TASK BARRIER,48.0367,Task
Fulhame,ARM 20.0,32,NESTED TASK,3.6357,Task
Fulhame,ARM 20.0,32,NESTED MASTER TASK,1.8587,Task
Fulhame,ARM 20.0,32,BRANCH TASK TREE,1.6527,Task
Fulhame,ARM 20.0,32,LEAF TASK TREE,1.6435,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Fulhame,ARM 20.0,4,PARALLEL TASK,0.3166,Task
Fulhame,ARM 20.0,4,MASTER TASK,2.706,Task
Fulhame,ARM 20.0,4,MASTER TASK BUSY SLAVES,0.4324,Task
Fulhame,ARM 20.0,4,CONDITIONAL TASK,0.1845,Task
Fulhame,ARM 20.0,4,TASK WAIT,0.3817,Task
Fulhame,ARM 20.0,4,TASK BARRIER,4.3939,Task
Fulhame,ARM 20.0,4,NESTED TASK,2.263,Task
Fulhame,ARM 20.0,4,NESTED MASTER TASK,1.5931,Task
Fulhame,ARM 20.0,4,BRANCH TASK TREE,1.4003,Task
Fulhame,ARM 20.0,4,LEAF TASK TREE,1.367,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
Fulhame,ARM 20.0,64,PARALLEL TASK,47.5072,Task
Fulhame,ARM 20.0,64,MASTER TASK,3905.3702,Task
Fulhame,ARM 20.0,64,MASTER TASK BUSY SLAVES,41.1916,Task
Fulhame,ARM 20.0,64,CONDITIONAL TASK,0.522,Task
